year,month,date,temp_mean,temp_min,temp_max,temp_avg_daily_min,temp_avg_daily_max,demand_mean,demand_max,demand_avg_daily_max,total_consumption,pv_capacity,population,gsp
2017,2,2017-02-01,19.857440476190476,2.6,32.9,15.203571428571427,24.625,7977.962313988095,11828.37,9356.381785714286,5361190.675,1194618.972,7820850,52663.416666666664
2017,3,2017-03-01,20.428897849462366,2.3,31.6,16.861290322580647,24.641935483870967,8047.222190860214,11914.9,9304.451935483872,5987133.31,1213484.6970000002,7833463,52663.416666666664
2017,4,2017-04-01,17.24357192494788,6.4,32.1,12.666666666666666,22.58,7507.246080611535,11168.62,8853.758666666667,5401463.555,1228796.6220000002,7840747,52663.416666666664
2017,5,2017-05-01,15.810954301075268,2.5,40.2,10.761290322580646,21.387096774193548,7992.026780913979,12790.82,9593.505806451612,5946067.925,1249883.3590000002,7848031,52663.416666666664
2017,6,2017-06-01,14.189097222222221,3.2,30.9,9.663333333333332,19.666666666666668,8547.37532638889,13677.86,10267.608666666667,6154110.235,1271154.0040000002,7855316,54017.166666666664
2017,7,2017-07-01,13.655712365591398,1.7,31.3,7.438709677419355,20.01290322580645,8385.882305107527,11652.8,10086.814193548387,6239096.435,1294381.0310000002,7865128,54017.166666666664
2017,8,2017-08-01,13.982728494623656,1.4,29.5,8.55483870967742,19.6,8154.872358870968,11345.96,9842.435806451613,6067225.035,1317325.5760000001,7874940,54017.166666666664
2017,9,2017-09-01,17.16722222222222,1.9,34.0,10.163333333333332,24.09333333333333,7691.648201388889,12601.15,9132.352666666668,5537986.705,1339409.171,7884752,54017.166666666664
2017,10,2017-10-01,18.367674731182795,1.3,42.9,13.141935483870967,23.887096774193548,7681.892876344085,13985.87,8895.875806451613,5715328.3,1365443.412,7890150,54017.166666666664
2017,11,2017-11-01,19.888125000000002,4.3,40.7,14.66,25.166666666666668,7914.335625000001,13348.37,9154.369666666667,5698321.65,1396337.123,7895548,54017.166666666664
2017,12,2017-12-01,21.858870967741936,5.8,39.8,17.258064516129032,27.6,8157.1287096774195,12986.04,9802.189677419356,6068903.76,1429817.1719999998,7900946,54017.166666666664
2018,1,2018-01-01,21.14768300873069,3.4,35.5,16.10967741935484,26.60967741935484,8156.493008730692,12494.58,9779.259354838709,6072509.045,1451018.1819999998,7912193,54017.166666666664
2018,2,2018-02-01,20.84754464285714,4.9,38.5,15.760714285714286,26.139285714285712,8184.69146577381,12846.15,9758.432142857142,5500112.665,1478668.748,7923440,54017.166666666664
2018,3,2018-03-01,20.54187457855698,4.8,38.8,15.616129032258065,26.074193548387097,7879.234497639919,11615.92,9293.520967741937,5842452.38,1510372.1909999999,7934688,54017.166666666664
2018,4,2018-04-01,18.523517096999303,5.1,31.9,13.79,23.136666666666667,7565.8864759246335,10766.64,8964.393333333333,5420957.66,1541018.4319999998,7941284,54017.166666666664
2018,5,2018-05-01,14.993147896879242,2.4,28.0,9.412903225806453,20.970967741935485,8044.699118046133,10855.27,9675.553870967742,5928943.25,1578239.2979999997,7947880,54017.166666666664
2018,6,2018-06-01,14.038680555555556,2.8,32.1,8.78,19.913333333333334,8608.907305555555,12076.7,10471.082333333334,6198413.26,1609713.4989999998,7954476,55235.75
2018,7,2018-07-01,13.774596774193547,-1.3,43.9,6.658064516129032,21.496774193548386,8415.215840053763,12230.57,10212.383870967742,6260920.585,1646945.238,7964492,55235.75
2018,8,2018-08-01,13.966666666666667,1.7,35.2,8.051612903225806,19.738709677419354,8313.98811155914,12088.8,10165.574193548387,6185607.155,1686544.859,7974508,55235.75
2018,9,2018-09-01,15.93951388888889,3.7,35.2,9.746666666666666,22.133333333333333,7719.611902777779,11278.72,9239.233666666667,5558120.57,1721726.034,7984525,55235.75
2018,10,2018-10-01,18.066666666666666,4.2,29.8,13.970967741935485,22.716129032258067,7566.32315860215,11322.89,8726.237741935483,5629344.43,1759933.787,7990871,55235.75
2018,11,2018-11-01,18.415277777777778,3.7,28.4,13.7,22.89,7525.473909722222,11180.67,8607.981,5418341.215,1804618.462,7997217,55235.75
