,Year,Month,temp_mean,temp_min,temp_max,demand_mean,demand_sum,Cumulative,Population,GSP
46,2013,11,18.270694444444445,4.6,30.9,7768.765763888889,11187022.7,640373.6480000002,7446926,48283.166666666664
47,2013,12,20.164852150537634,4.9,38.2,7813.199206989248,11626040.42,652202.2700000001,7454938,48283.166666666664
48,2014,1,20.969039623908664,4.8,34.8,8175.580167897918,12173438.87,661162.5210000002,7465903,48283.166666666664
49,2014,2,19.87455357142857,4.4,35.7,7985.060029761905,10731920.68,671595.9280000002,7476868,48283.166666666664
50,2014,3,19.400806451612905,2.1,31.9,7953.419583333333,11834688.34,683254.2860000002,7487834,48283.166666666664
51,2014,4,17.05298611111111,2.3,29.4,7587.490354166666,10925986.11,694526.4990000002,7494673,48283.166666666664
52,2014,5,16.462542030934767,2.4,32.7,7861.143268325487,11689520.04,709852.6950000002,7501513,48283.166666666664
53,2014,6,14.406666666666666,1.8,30.8,8122.899875,11696975.82,723439.7890000002,7508353,49417.416666666664
54,2014,7,13.9364492266308,2.8,28.4,8358.102373907195,12428498.23,738628.5480000002,7517661,49417.416666666664
55,2014,8,14.213104838709677,4.0,29.9,8203.712755376344,12207124.58,753521.6580000002,7526969,49417.416666666664
56,2014,9,16.49263377345379,0.2,33.0,7601.863363446839,10939081.38,770978.3260000001,7536277,49417.416666666664
57,2014,10,18.10443548387097,3.6,31.9,7740.244354838709,11517483.6,789569.7850000001,7544908,49417.416666666664
58,2014,11,19.894791666666666,4.4,38.1,7916.1672777777785,11399280.88,807908.4080000002,7553539,49417.416666666664
59,2014,12,19.628897849462366,0.7,33.3,7498.810920698925,11158230.65,824166.3360000001,7562171,49417.416666666664
60,2015,1,20.525721961047683,3.5,37.3,7957.298582941571,11848417.59,837292.1700000002,7573357,49417.416666666664
61,2015,2,20.23296130952381,2.5,30.5,8057.36265625,10829095.41,854649.3020000001,7584544,49417.416666666664
62,2015,3,17.95356182795699,3.3,32.4,7732.5226478494615,11505993.7,871015.4900000001,7595731,49417.416666666664
63,2015,4,15.984583333333333,1.9,33.2,7797.819673611111,11228860.33,883627.9370000002,7602543,49417.416666666664
64,2015,5,14.192540322580646,1.9,36.1,8072.892836021505,12012464.54,898675.4470000002,7609355,49417.416666666664
65,2015,6,13.601180555555556,0.7,35.4,8348.647256944445,12022052.05,913987.6470000001,7616168,50777.75
66,2015,7,12.878427419354837,0.7,29.5,8575.78806451613,12760772.64,929676.3300000001,7625886,50777.75
67,2015,8,14.782930107526882,2.6,32.9,8048.255907258064,11975804.79,944462.2890000001,7635605,50777.75
68,2015,9,15.968958333333333,2.1,32.9,7832.340229166666,11278569.93,958588.8600000001,7645324,50777.75
69,2015,10,18.350403225806453,2.9,31.2,7735.5708736559145,11510529.46,973222.702,7654016,50777.75
70,2015,11,19.888047255038224,2.5,40.4,7897.966719944406,11365174.11,987047.6900000001,7662708,50777.75
71,2015,12,19.403494623655916,2.4,32.8,7705.161989247311,11465281.04,1000577.206,7671401,50777.75
72,2016,1,20.93310946944258,4.9,39.1,8080.951544660846,12032536.85,1009606.916,7683404,50777.75
73,2016,2,21.250933908045976,4.3,37.7,8329.686271551724,11594923.29,1022425.193,7695408,50777.75
74,2016,3,19.62896505376344,3.3,30.8,7732.536895161291,11506014.9,1035108.536,7707412,50777.75
75,2016,4,18.084305555555556,1.2,30.5,7683.7090625,11064541.05,1047949.548,7715894,50777.75
76,2016,5,15.824260752688172,3.8,33.1,7892.265860215053,11743691.6,1061945.395,7724376,50777.75
